recipe,preptime,cooktime,cuisine,course,diet,ingredients
Spicy Tomato Rice (Recipe),5,10,South Indian Recipes,Main Course,Vegetarian,"2-1 / 2 cups rice - cooked, 3 tomatoes, 3 teaspoons BC Belle Bhat powder, salt - as per taste, 1 teaspoon chickpea lentils, 1/2 teaspoon cumin seeds, 1 teaspoon white urad dal, 1/2 Teaspoon mustard, 1 green chilli, 1 dry red chilli, 2 teaspoon cashew - or peanuts, 1-1 / 2 tablespoon oil - 1/2 teaspoon asafoetida"
Ragi Semiya Upma Recipe - Ragi Millet Vermicelli Breakfast,20,30,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,"1-1/2 cups Rice Vermicelli Noodles (Thin),1 Onion - sliced,1/2 cup Carrots (Gajjar) - chopped,1/3 cup Green peas (Matar),2 Green Chillies,1/4 teaspoon Asafoetida (hing),1 teaspoon Mustard seeds,1 teaspoon White Urad Dal (Split),1 teaspoon Ghee,1 sprig Curry leaves,Salt - to taste,1 teaspoon Lemon juice"
Gongura Chicken Curry Recipe - Andhra Style Gongura Chicken,15,30,Andhra,Lunch,Non Vegeterian,"500 grams Chicken,2 Onion - chopped,1 Tomato - chopped,4 Green Chillies - slit,1 inch Ginger - finely chopped,6 cloves Garlic - finely chopped,1/2 teaspoon Turmeric powder (Haldi),1 teaspoon Garam masala powder,2 tablespoon Sesame (Gingelly) Oil,Salt - to taste,1/4 teaspoon Methi Seeds (Fenugreek Seeds),1 tablespoon Coriander (Dhania) Seeds,4 Dry Red Chillies,1 teaspoon Fennel seeds (Saunf),1 teaspoon Sesame (Gingelly) Oil,4 cloves Garlic,2 cups Sorrel Leaves (Gongura) - picked and chopped,Salt - to taste"
Andhra Style Alam Pachadi Recipe - Adrak Chutney (Recipe),10,20,Andhra,South Indian Breakfast,Vegetarian,"1 tablespoon chana dal, 1 tablespoon white urad dal, 2 red chillies, 1 tablespoon coriander seeds, 3 inches ginger - chop, 1 onion - chop, 1 tomato - chop, salt - as per taste, 1 Teaspoon mustard, asafoetida - a pinch, oil - as per use, 1 sprig curry"
Pudina Khara Pongal Recipe (Rice and Lentils Cooked With Mint Leaves & Mild Spices),10,20,South Indian Recipes,South Indian Breakfast,High Protein Vegetarian,"1 cup Rice - soaked for 20 minutes,1/2 cup Yellow Moong Dal (Split) - soaked for 20 minutes,1 cup Mint Leaves (Pudina) - tightly packed,1/4 cup Coriander (Dhania) Leaves - tightly packed,1 Green Chilli,1 inch Ginger,1 teaspoon Cumin seeds (Jeera),5 cups Water,1 teaspoon Sunflower Oil,Salt - to taste,2 tablespoons Ghee,8 Cashew nuts - halved,1 teaspoon Cumin seeds (Jeera),1 teaspoon Whole Black Peppercorns,1 sprig Curry leaves,1 pinch Asafoetida (hing)"
Udupi Style Ash Gourd Coconut Curry Recipe,10,30,Udupi,Lunch,Vegetarian,"500 grams Vellai Poosanikai (Ash gourd/White Pumpkin),1/2 teaspoon Turmeric powder (Haldi),Salt - to taste,Sunflower Oil - for cooking,4 Dry Red Chillies,1/2 cup Fresh coconut - grated,30 grams Tamarind Water,1/2 teaspoon Methi Seeds (Fenugreek Seeds),1/2 teaspoon Cumin seeds (Jeera),2 teaspoons Coriander (Dhania) Seeds,2 teaspoons Sesame seeds (Til seeds),3 tablespoons Jaggery,1 cup Tamarind Water,1 teaspoon Sunflower Oil,1/2 teaspoon Mustard seeds,2 sprig Curry leaves - roughly torn,1 Dry Red Chillies"
Mexican Style Black Bean Burrito Recipe,10,30,Mexican,Lunch,Vegetarian,"4 Tortillas,1/4 cup Black beans - soaked overnight and  cooked,6 to 8 Spinach Leaves (Palak),1 Onion - chopped,1 Tomato - chopped,2 cloves Garlic - chopped,2 sprig Coriander (Dhania) Leaves,1 cup Rice - or brown rice,1 Lemon juice,4 Spring Onion Greens - chopped,4 tablespoons Cheddar cheese,4 tablespoon Hung Curd (Greek Yogurt)"
Spicy Crunchy Masala Idli Recipe,10,20,South Indian Recipes,Snack,Vegetarian,"10 Idli - cut into strips,1 cup Green Bell Pepper (Capsicum) - thinly sliced,1 cup Tomato - finely chopped,1 cup Onions - finely chopped,2 Green Chillies - finely chopped,1/4 teaspoon Red Chilli powder,1/2 teaspoon Turmeric powder (Haldi),3 tablespoons Tomato Ketchup,Coriander (Dhania) Leaves - to taste,Mint Leaves (Pudina) - to taste,2 teaspoons Sunflower Oil,Salt - to taste"
Cauliflower Leaves Chutney (Recipe in Hindi),5,20,South Indian Recipes,Side Dish,Vegetarian,"1 cup cabbage leaves, 3/4 cup tomatoes, 18 grams tamarind, 2 tablespoons white urad dal, 4 red chillies, salt - as per taste, asafoetida - a pinch, 3 cloves garlic, turmeric powder - a pinch, 1 big Spoon oil, 1 teaspoon Rye, 1/2 teaspoon Cumin seeds, 1 sprig Curry leaves"
Homemade Baked Beans Recipe (Wholesome & Healthy),60,60,Fusion,High Protein Vegetarian,Vegetarian,"250 grams Dry beans - (such as cannellini or soya beans),1 teaspoon Extra Virgin Olive Oil,1 Onion - finely chopped,1 clove Garlic - grated,500 grams Tomatoes - pureed,1 tablespoon Honey - or more to taste,1 teaspoon Cumin powder (Jeera),1 teaspoon Dried oregano,1/4 teaspoon Red Chilli powder - or cayenne pepper,Salt and Pepper - (coarsely pounded pepper) to taste"
